source_url,target_url,map_status,expected_status,actual_status,actual_final_url,chain_steps,loop_detected,content_equivalent,verdict,notes
"https://go.vareya.com/","https://vareya.ai/knowledge/",EXECUTED,301,301,https://vareya.ai/knowledge/,1,no,yes,PASS,"root blanket-rule"
"https://go.vareya.com/commercial-sprint/index.html","https://vareya.ai/knowledge/",EXECUTED,301,301,https://vareya.ai/knowledge/,1,no,yes,PASS,"catch-all"
"https://go.vareya.com/blog-batch1/netherlands-3pl-international-ecommerce.html","https://vareya.ai/eu-fulfilment/",EXECUTED,301,301,https://vareya.ai/knowledge/,1,no,partial,FIDELITY_GAP,"landt op catch-all i.p.v. specifieke target"
"https://go.vareya.com/blog-batch3/fulfillment-wellness-brands-europe.html","https://vareya.ai/cosmetics-supplements-fulfilment-europe/",EXECUTED,301,301,https://vareya.ai/knowledge/,1,no,partial,FIDELITY_GAP,"idem"
"https://go.vareya.com/blog-batch1/request-eu-fulfillment-quote.html","https://vareya.ai/request-fulfilment-quote/",EXECUTED,301,301,https://vareya.ai/knowledge/,1,no,partial,FIDELITY_GAP,"idem"
"https://go.vareya.com/blog-batch3/netherlands-strategic-fulfillment-hub.html","https://vareya.ai/eu-fulfilment/",EXECUTED,301,301,https://vareya.ai/knowledge/,1,no,partial,FIDELITY_GAP,"idem"
"https://go.vareya.com/ads/linkedin-conversation.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"NO_REDIRECT-route redirect toch (catch-all)"
"https://go.vareya.com/ads/linkedin-single.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"idem"
"https://go.vareya.com/ads/meta-ad-a.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"idem"
"https://go.vareya.com/ads/meta-ad-b.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"idem"
"https://go.vareya.com/ads/meta-carousel.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"idem"
"https://go.vareya.com/Vareya-klanten-dashboard.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"idem"
"https://go.vareya.com/Vareya-klanten-dashboard-v2.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"idem"
"https://go.vareya.com/Vareya-klanten-dashboard-vps.html",,NO_REDIRECT,none,301,https://vareya.ai/knowledge/,1,no,no,INTENT_VIOLATION,"idem"
"STEMMING-STATISCH: 606 rijen totaal, 0 duplicaten, 0 malformed, 0 ketens (target-is-ook-source), 327 EXECUTED + 8 NO_REDIRECT + 271 PLANNED. LIVE-STEEKPROEF: 40 go.vareya-routes; 34 op kaarttarget (veelal /knowledge/ zelf), 6 FIDELITY_GAP, 0 errors. Alle 8 NO_REDIRECT-routes: 301 naar /knowledge/ (bedoeling: geen redirect).","","","","","","","","","SAMENVATTING","zie LIVE-DOMAIN-AUDIT.md"
