source_url,expected_status,actual_status,final_url,hops,canonical,indexable,verdict
https://vareya.ai/,200,200,https://vareya.ai/,0,https://vareya.ai/,yes,OK
https://www.vareya.ai/,200,308,https://vareya.ai/,1,https://vareya.ai/,yes,OK
http://vareya.ai/,200,308,https://vareya.ai/,1,https://vareya.ai/,yes,OK
https://vareya.ai/contact/,200,200,https://vareya.ai/contact/,0,unknown,yes,OK
https://vareya.ai/cookies/,200,200,https://vareya.ai/cookies/,0,unknown,yes,OK
https://vareya.ai/cosmetics-supplements-fulfilment-europe/,200,200,https://vareya.ai/cosmetics-supplements-fulfilment-europe/,0,unknown,yes,OK
https://vareya.ai/eu-fulfilment-south-korean-brands/,200,200,https://vareya.ai/eu-fulfilment-south-korean-brands/,0,unknown,yes,OK
https://vareya.ai/eu-fulfilment-uk-brands/,200,200,https://vareya.ai/eu-fulfilment-uk-brands/,0,unknown,yes,OK
https://vareya.ai/eu-fulfilment-us-brands/,200,200,https://vareya.ai/eu-fulfilment-us-brands/,0,unknown,yes,OK
https://vareya.ai/eu-fulfilment/,200,200,https://vareya.ai/eu-fulfilment/,0,https://vareya.ai/eu-fulfilment/,yes,OK
https://vareya.ai/free-rate-scan/,200,200,https://vareya.ai/free-rate-scan/,0,unknown,yes,OK
https://vareya.ai/nl/fulfilment-noord-brabant/,200,200,https://vareya.ai/nl/fulfilment-noord-brabant/,0,unknown,yes,OK
https://vareya.ai/privacy/,200,200,https://vareya.ai/privacy/,0,unknown,yes,OK
https://vareya.ai/request-fulfilment-quote/,200,200,https://vareya.ai/request-fulfilment-quote/,0,unknown,yes,OK
https://vareya.ai/shopify-fulfilment-europe/,200,200,https://vareya.ai/shopify-fulfilment-europe/,0,https://vareya.ai/shopify-fulfilment-europe/,yes,OK
https://vareya.ai/knowledge/,200,200,https://vareya.ai/knowledge/,0,https://vareya.ai/knowledge/,yes,OK
https://vareya.ai/this-page-does-not-exist-12345,404,404,https://vareya.ai/this-page-does-not-exist-12345/,1,n/a,no,OK
https://vareya.com/,301,301,https://www.vareya.com/,1,https://www.vareya.com/,yes,OK
https://www.vareya.com/,200,200,https://www.vareya.com/,0,https://www.vareya.com/,yes,CRITICAL_UNSUPPORTED_CLAIMS
http://vareya.com/,200,301,https://www.vareya.com/,2,https://www.vareya.com/,yes,OK
https://www.vareya.com/3pl-fulfillment/,200,200,https://www.vareya.com/3pl-fulfillment/,0,unknown,yes,OK
https://www.vareya.com/about-us/,200,200,https://www.vareya.com/about-us/,0,https://www.vareya.com/about-us/,yes,OK
https://www.vareya.com/alcohol-fulfillment/,200,200,https://www.vareya.com/alcohol-fulfillment/,0,unknown,yes,NEEDS_REVIEW
https://www.vareya.com/blog/,200,200,https://www.vareya.com/blog/,0,https://www.vareya.com/blog/,yes,OK
https://www.vareya.com/contact/,200,200,https://www.vareya.com/contact/,0,https://www.vareya.com/contact/,yes,OK
https://www.vareya.com/cosmetics-supplements-fulfilment-europe/,200,200,https://www.vareya.com/cosmetics-supplements-fulfilment-europe/,0,unknown,yes,OK
https://www.vareya.com/en-vareya-postnl/,200,200,https://www.vareya.com/en-vareya-postnl/,0,unknown,yes,NEEDS_REVIEW
https://www.vareya.com/en/large-enterprise-businesses/,200,301,https://www.vareya.com/large-enterprise-businesses/,1,unknown,yes,OK
https://www.vareya.com/faq/,200,301,LOOP_NEVER_RESOLVES,999,n/a,no,REDIRECT_LOOP
https://www.vareya.com/frequently-asked-questions/,200,200,https://www.vareya.com/frequently-asked-questions/,0,unknown,yes,OK
https://www.vareya.com/fulfillment-pricing/,200,200,https://www.vareya.com/fulfillment-pricing/,0,unknown,yes,OK
https://www.vareya.com/knowledge-base/,200,200,https://www.vareya.com/knowledge-base/,0,unknown,yes,OK
https://www.vareya.com/feed/,200,200,https://www.vareya.com/feed/,0,n/a,yes,NEEDS_REVIEW
https://www.vareya.com/this-page-does-not-exist-12345,404,404,https://www.vareya.com/this-page-does-not-exist-12345,0,n/a,no,OK
https://vareya.nl/,200,301,https://www.vareya.com/,1,https://www.vareya.com/,yes,NEEDS_REVIEW
https://www.vareya.nl/,200,301,https://www.vareya.com/,1,https://www.vareya.com/,yes,NEEDS_REVIEW
http://vareya.nl/,200,301,https://www.vareya.com/,1,https://www.vareya.com/,yes,NEEDS_REVIEW
https://go.vareya.com/,200,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,OK
http://go.vareya.com/,200,301,https://vareya.ai/knowledge/,2,https://vareya.ai/knowledge/,yes,OK
https://go.vareya.com/shop,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/products,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/about,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/contact,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/blog,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/services,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/pricing,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/faq,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/warehousing,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/fulfillment,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
https://go.vareya.com/returns,unknown,301,https://vareya.ai/knowledge/,1,https://vareya.ai/knowledge/,yes,NEEDS_REVIEW
